gene_id,gene_symbol,gene_name,GSM4996084,GSM4996085,GSM4996086,GSM4996087,GSM4996088,GSM4996089,GSM4996090,GSM4996091,GSM4996092,GSM4996093,GSM4996094,GSM4996095,GSM4996096,GSM4996097,GSM4996098,GSM4996099,GSM4996100,GSM4996101
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene),2,5,3,2,5,2,4,2,3,2,2,4,3,2,2,3,3,3
653635,WASH7P,"WASP family homolog 7, pseudogene",244,236,337,266,317,226,303,196,219,202,168,201,235,221,270,262,234,314
102466751,MIR6859-1,microRNA 6859-1,25,17,34,22,24,19,23,15,21,15,19,22,15,17,16,18,17,23
107985730,MIR1302-2HG,MIR1302-2 host gene,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100302278,MIR1302-2,microRNA 1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645520,FAM138A,family with sequence similarity 138 member A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79501,OR4F5,olfactory receptor family 4 subfamily F member 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100996442,WASH9P,"WAS protein family homolog 9, pseudogene",39,38,59,35,61,37,25,32,38,25,35,35,22,25,33,33,22,35
729737,LOC729737,uncharacterized LOC729737,51,52,111,73,125,46,51,52,47,45,37,55,44,44,52,49,47,66
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene),1,2,1,1,2,2,4,2,2,3,3,4,3,2,1,3,3,2
102723897,LOC102723897,WASH complex subunit 1 pseudogene,216,214,298,238,271,202,256,181,192,184,168,189,212,200,217,219,198,268
102465909,MIR6859-2,microRNA 6859-2,7,7,13,8,12,8,9,7,8,5,5,6,8,6,6,6,5,10
107985721,,,1,0,1,1,1,0,0,1,0,1,0,0,1,0,2,1,0,2
112268260,LOC112268260,uncharacterized LOC112268260,14,11,16,13,19,13,12,13,9,6,9,8,6,6,8,11,7,8
729759,OR4F29,olfactory receptor family 4 subfamily F member 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100132287,LOC100132287,uncharacterized LOC100132287,98,94,205,145,232,96,90,83,82,64,67,91,85,77,106,95,82,138
105378947,LOC105378947,proline-rich extensin-like protein EPR1,0,2,1,1,1,1,1,1,2,2,0,2,1,0,1,0,2,1
101928626,LOC101928626,uncharacterized LOC101928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113219467,MIR12136,microRNA 12136,2714,3870,3562,3785,3607,3557,7072,3653,4518,4572,3414,3782,2902,3138,3804,3513,3143,4117
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,1,2,2,4,4,2,2,1,2,1,1,1,1,1,1,1,1,1
100133331,,,117,114,262,161,266,130,93,93,98,65,66,98,86,87,103,119,87,146
107984841,,,57,64,98,68,109,64,26,37,39,22,30,44,37,33,43,56,38,63
107984847,,,49,52,113,65,113,48,20,35,36,23,32,38,40,33,50,46,37,52
107984849,,,8,6,16,7,20,9,3,5,6,3,4,7,3,7,6,7,7,5
100288069,LOC100288069,uncharacterized LOC100288069,46,53,77,62,95,56,25,41,27,24,23,30,39,39,38,40,34,56
105378580,LINC01409,long intergenic non-protein coding RNA 1409,54,57,83,71,88,59,39,47,46,21,35,43,33,42,45,48,44,68
400728,FAM87B,family with sequence similarity 87 member B,16,20,17,10,24,10,7,13,10,9,9,11,18,12,10,14,14,14
79854,LINC00115,long intergenic non-protein coding RNA 115,31,42,38,25,34,35,13,21,12,22,14,25,25,22,31,17,14,26
643837,LINC01128,long intergenic non-protein coding RNA 1128,229,286,285,233,305,257,295,237,247,209,215,245,217,179,201,199,163,265
107984850,LOC107984850,uncharacterized LOC107984850,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
284593,FAM41C,family with sequence similarity 41 member C,2,2,3,1,4,1,2,1,1,1,2,2,1,1,2,1,2,2
284600,LOC284600,uncharacterized LOC284600,104,105,175,57,94,45,36,23,24,9,19,18,183,156,206,95,95,126
100130417,LINC02593,long intergenic non-protein coding RNA 2593,140,121,246,75,113,49,91,43,70,17,27,21,264,239,288,167,163,219
107985728,LOC107985728,collagen alpha-1(III) chain-like,201,219,304,73,147,81,81,74,104,19,38,36,391,403,401,225,197,321
148398,SAMD11,sterile alpha motif domain containing 11,443,453,578,245,274,216,275,174,180,93,86,102,826,788,853,362,338,480
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,2316,2201,1812,1610,1575,1630,1824,1555,1461,1244,1168,1537,1860,1589,1874,1399,1313,1920
339451,KLHL17,kelch like family member 17,238,227,407,225,334,190,194,154,131,139,137,146,226,222,237,198,181,247
84069,PLEKHN1,pleckstrin homology domain containing N1,34,35,41,22,33,26,28,16,13,11,16,13,15,18,13,12,13,23
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",6,7,9,4,6,6,3,4,4,3,1,2,2,3,3,3,2,2
57801,HES4,hes family bHLH transcription factor 4,6,5,4,8,7,3,68,45,56,37,33,41,17,8,14,5,7,4
9636,ISG15,ISG15 ubiquitin like modifier,85,57,57,66,48,86,154,67,104,97,72,78,69,57,56,62,43,83
375790,AGRN,agrin,1240,1333,1707,1775,2041,1555,2298,1989,2160,1844,1891,1946,945,859,1110,972,847,1197
100288175,LOC100288175,uncharacterized LOC100288175,4,9,13,4,7,1,4,4,3,2,0,1,1,1,4,1,1,2
112267874,,,2,4,4,3,3,2,6,3,2,1,1,1,0,0,2,0,0,0
105378948,LOC105378948,uncharacterized LOC105378948,3,12,13,3,6,3,14,6,7,4,1,2,2,2,4,1,3,1
401934,RNF223,ring finger protein 223,0,0,0,0,0,0,8,2,5,1,1,0,0,0,0,1,0,1
54991,C1orf159,chromosome 1 open reading frame 159,97,74,94,77,98,90,103,91,71,65,71,75,72,60,67,80,51,86
254099,LINC01342,long intergenic non-protein coding RNA 1342,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
406984,MIR200B,microRNA 200b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406983,MIR200A,microRNA 200a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554210,MIR429,microRNA 429,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
100506376,TTLL10-AS1,TTLL10 antisense RNA 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254173,TTLL10,tubulin tyrosine ligase like 10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8784,TNFRSF18,TNF receptor superfamily member 18,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7293,TNFRSF4,TNF receptor superfamily member 4,0,0,2,1,3,0,1,0,0,1,3,1,1,0,1,0,0,2
51150,SDF4,stromal cell derived factor 4,4670,4607,3601,3817,3634,3825,6244,5039,4885,4649,4121,4722,3970,3380,4291,3621,3379,4632
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",338,375,330,306,290,311,555,408,397,379,306,414,302,281,361,297,255,347
388581,C1QTNF12,C1q and TNF related 12,4,8,49,21,21,16,11,14,13,11,10,17,18,12,13,11,8,26
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,656,640,679,572,663,476,789,603,626,583,544,627,609,507,639,537,498,717
101928895,LINC01786,long intergenic non-protein coding RNA 1786,17,30,36,41,45,38,51,23,35,41,28,42,40,29,35,37,39,48
6339,SCNN1D,sodium channel epithelial 1 subunit delta,45,67,103,86,103,68,75,67,75,66,50,69,68,55,53,61,64,74
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",862,829,1507,1062,1539,861,1405,1062,1153,996,951,1187,1069,958,1217,1041,939,1376
